lat,lng,year,map_name,address_1,address_2,address_3,address_4,protocols,district_id,division_id,internal_id,archive_name,district_name,election_type,internal_name,abroad_district_id,total_registered_voters,total_registered_voters_men,total_registered_voters_women,participated,participated_confidence,invalid_ballots,invalid_ballots_confidence,total_votes,Party || 1 || მიხეილ ანთაძე,Party || 10 || შალვა ნათელაშვილი,Party || 13 || ზვიად მეხატიშვილი,Party || 17 || გიორგი ლილუაშვილი,Party || 18 || აკაკი ასათიანი,Party || 2 || დავით ბაქრაძე,Party || 21 || კახა კუკავა,Party || 22 || ოთარ მეუნარგია,Party || 23 || ირაკლი გორგაძე,Party || 25 || დავით უსუფაშვილი,Party || 27 || ზვიადი ბაღდავაძე,Party || 28 || მიხეილ სალუაშვილი,Party || 30 || ზვიად იაშვილი,Party || 31 || თამარი ცხორაგაული,Party || 35 || გელა ხუციშვილი,Party || 36 || ზურაბ ჯაფარიძე,Party || 4 || ვახტანგ გაბუნია,Party || 40 || ლევანი ჩხეიძე,Party || 48 || სალომე ზურაბიშვილი,Party || 49 || ბესარიონ თედიაშვილი,Party || 5 || გრიგოლ ვაშაძე,Party || 51 || გიორგი ანდრიაძე,Party || 58 || კახაბერ ჭიჭინაძე,Party || 62 || ვლადიმერ ნონიკაშვილი,Party || 65 || თეიმურაზ შაშიაშვილი,Party || 999 || Other
42.1532972,42.3379946,2018,2018 წლის 28 ოქტომბრის საპრეზიდენტო არჩევნები,ქალაქი,საქგაზის ადმინისტრაციული შენობა,ჯ. ტუღუშის ქ.1,,https://archiveresults.cec.gov.ge/results/20181028/oqm/3/oqmi_54_5.html,54,5,2018_presidential_round_1,28.10.2018 საქართველოს პრეზიდენტის არჩევნების შედეგები,#54 სამტრედია,proportional,2018 წლის საქართველოს პრეზიდენტის არჩევნები (ტური 1),87,1266,616,650,546,3,26,3,520,0,21,0,0,0,75,12,0,0,6,0,1,0,2,1,2,2,0,195,2,196,2,0,0,3,0
41.9883582,43.5958712,2018,2018 წლის 28 ოქტომბრის საპრეზიდენტო არჩევნები,ხაშურის ქალაქის,2 საჯარო სკოლა,რუსთაველის 95,,https://archiveresults.cec.gov.ge/results/20181028/oqm/3/oqmi_35_11.html,35,11,2018_presidential_round_1,28.10.2018 საქართველოს პრეზიდენტის არჩევნების შედეგები,#35 ხაშური,proportional,2018 წლის საქართველოს პრეზიდენტის არჩევნები (ტური 1),87,1293,640,653,566,3,21,3,545,0,41,1,0,4,52,13,1,0,13,0,1,0,6,0,13,0,0,192,0,202,1,0,1,4,0
41.71437101801243,44.800205942991624,2018,2018 წლის 28 ოქტომბრის საპრეზიდენტო არჩევნები,,29-ე საჯარო სკოლა,ეგ. ნინოშვილის ქ.39,,https://archiveresults.cec.gov.ge/results/20181028/oqm/3/oqmi_7_12.html,7,12,2018_presidential_round_1,28.10.2018 საქართველოს პრეზიდენტის არჩევნების შედეგები,#7 ჩუღურეთი,proportional,2018 წლის საქართველოს პრეზიდენტის არჩევნები (ტური 1),87,1261,508,753,1270,2,21,3,546,0,32,0,0,1,46,12,0,0,26,2,0,1,1,5,37,2,1,205,2,158,9,0,0,6,0
41.92490958984102,45.46902100475461,2018,2018 წლის 28 ოქტომბრის საპრეზიდენტო არჩევნები,ყადორი,თელავგაზის ადმინისტრაციული შენობა,კავკასიონის ქ. N15,,https://archiveresults.cec.gov.ge/results/20181028/oqm/3/oqmi_17_7.html,17,7,2018_presidential_round_1,28.10.2018 საქართველოს პრეზიდენტის არჩევნების შედეგები,#17 თელავი,proportional,2018 წლის საქართველოს პრეზიდენტის არჩევნები (ტური 1),87,1186,502,684,579,3,22,3,557,0,19,0,0,2,26,7,0,0,19,0,2,0,1,0,10,1,1,196,1,264,6,0,0,2,0
42.27789660918387,42.70071473439327,2018,2018 წლის 28 ოქტომბრის საპრეზიდენტო არჩევნები,უქიმერიონის,მე-6 საჯარო სკოლის შენობა,ჩანჩიბაძის 12,,https://archiveresults.cec.gov.ge/results/20181028/oqm/3/oqmi_59_35.html,59,35,2018_presidential_round_1,28.10.2018 საქართველოს პრეზიდენტის არჩევნების შედეგები,#59 ქუთაისი,proportional,2018 წლის საქართველოს პრეზიდენტის არჩევნები (ტური 1),87,1349,625,724,628,3,33,3,595,0,15,0,0,0,49,10,1,0,13,1,1,0,4,0,13,3,1,209,2,244,4,1,0,24,0
42.11538348770113,43.87424200773239,2018,2018 წლის 28 ოქტომბრის საპრეზიდენტო არჩევნები,დირბი,საბაზო საჯარო სკოლა,"1-ლი ქუჩა, N 94",,https://archiveresults.cec.gov.ge/results/20181028/oqm/3/oqmi_33_35.html,33,35,2018_presidential_round_1,28.10.2018 საქართველოს პრეზიდენტის არჩევნების შედეგები,#33 ქარელი,proportional,2018 წლის საქართველოს პრეზიდენტის არჩევნები (ტური 1),87,876,479,397,317,3,5,3,311,0,8,0,0,0,46,1,0,0,2,0,0,0,0,0,1,1,1,123,1,126,0,1,0,0,0
41.60016436311522,44.970047771930695,2018,2018 წლის 28 ოქტომბრის საპრეზიდენტო არჩევნები,ყარათაკლიის,კულტურის სახლის შენობა,სოფ. ყარათაკლია,,https://archiveresults.cec.gov.ge/results/20181028/oqm/3/oqmi_21_61.html,21,61,2018_presidential_round_1,28.10.2018 საქართველოს პრეზიდენტის არჩევნების შედეგები,#21 გარდაბანი,proportional,2018 წლის საქართველოს პრეზიდენტის არჩევნები (ტური 1),87,998,444,554,387,3,5,3,381,0,0,0,2,0,3,2,0,0,0,0,1,0,0,0,1,3,3,184,1,179,0,0,0,2,0
41.931682777872325,45.44377607672118,2018,2018 წლის 28 ოქტომბრის საპრეზიდენტო არჩევნები,ვარდისუბნის ქვემო,ბაგა-ბაღის შენობა,სოფ.ვარდისუბანი,,https://archiveresults.cec.gov.ge/results/20181028/oqm/3/oqmi_17_18.html,17,18,2018_presidential_round_1,28.10.2018 საქართველოს პრეზიდენტის არჩევნების შედეგები,#17 თელავი,proportional,2018 წლის საქართველოს პრეზიდენტის არჩევნები (ტური 1),87,1231,600,631,677,3,31,3,643,0,34,0,0,0,81,3,0,0,23,0,0,0,3,1,7,1,1,144,2,341,1,0,0,1,0
41.831104264807166,45.67674279212952,2018,2018 წლის 28 ოქტომბრის საპრეზიდენტო არჩევნები,სოფ. შაშიანის,საბავშვო ბაღი,ს. შაშიანი 23-ე ქ. N6,,https://archiveresults.cec.gov.ge/results/20181028/oqm/3/oqmi_12_8.html,12,8,2018_presidential_round_1,28.10.2018 საქართველოს პრეზიდენტის არჩევნების შედეგები,#12 გურჯაანი,proportional,2018 წლის საქართველოს პრეზიდენტის არჩევნები (ტური 1),87,993,491,502,540,3,11,3,529,0,23,1,1,0,129,4,2,0,8,0,1,0,0,0,2,1,3,183,1,166,3,0,0,1,0
42.07308929286739,42.294026613235474,2018,2018 წლის 28 ოქტომბრის საპრეზიდენტო არჩევნები,ნოღა,სოფ. ნოღის საჯარო სკოლა,სოფ. ნოღა,,https://archiveresults.cec.gov.ge/results/20181028/oqm/3/oqmi_54_36.html,54,36,2018_presidential_round_1,28.10.2018 საქართველოს პრეზიდენტის არჩევნების შედეგები,#54 სამტრედია,proportional,2018 წლის საქართველოს პრეზიდენტის არჩევნები (ტური 1),87,486,240,246,293,3,5,3,288,0,6,0,0,0,32,1,1,0,0,0,0,0,0,0,0,1,0,139,0,106,0,1,0,1,0
41.64310110676283,42.09853112697601,2018,2018 წლის 28 ოქტომბრის საპრეზიდენტო არჩევნები,გოგიაშვილები,"ქედა, ს. დანდალო","ქედა, ს. დანდალო I ქ. N18",,https://archiveresults.cec.gov.ge/results/20181028/oqm/3/oqmi_80_7.html,80,7,2018_presidential_round_1,28.10.2018 საქართველოს პრეზიდენტის არჩევნების შედეგები,#80 ქედა,proportional,2018 წლის საქართველოს პრეზიდენტის არჩევნები (ტური 1),87,327,160,167,212,3,2,2,210,0,9,2,0,0,60,0,0,0,0,0,0,0,0,0,0,1,0,69,0,69,0,0,0,0,0
41.56326013174112,44.5847350358963,2018,2018 წლის 28 ოქტომბრის საპრეზიდენტო არჩევნები,გოლთეთი,საჯარო სკოლის შენობა,სოფ.გოლთეთი,,https://archiveresults.cec.gov.ge/results/20181028/oqm/3/oqmi_26_21.html,26,21,2018_presidential_round_1,28.10.2018 საქართველოს პრეზიდენტის არჩევნების შედეგები,#26 თეთრიწყარო,proportional,2018 წლის საქართველოს პრეზიდენტის არჩევნები (ტური 1),87,387,193,194,200,3,7,6,193,0,5,0,0,0,15,1,0,0,1,0,0,0,0,0,5,0,0,139,0,24,2,0,0,1,0
41.8029048002931,41.9357476701141,2018,2018 წლის 28 ოქტომბრის საპრეზიდენტო არჩევნები,ჭახათის ს/უ,სასოფლო კლუბის შენობა,სოფ. ჭახათი,,https://archiveresults.cec.gov.ge/results/20181028/oqm/3/oqmi_81_45.html,81,45,2018_presidential_round_1,28.10.2018 საქართველოს პრეზიდენტის არჩევნების შედეგები,#81 ქობულეთი,proportional,2018 წლის საქართველოს პრეზიდენტის არჩევნები (ტური 1),87,808,413,395,420,3,5,3,415,0,13,0,0,0,58,2,0,0,1,0,1,0,0,0,2,2,1,190,1,141,1,1,0,1,0
42.24921341904386,42.14316841290281,2018,2018 წლის 28 ოქტომბრის საპრეზიდენტო არჩევნები,ნოსირის,წისქვილკომბინატის შენობა,"სენაკი, ნოსირი",,https://archiveresults.cec.gov.ge/results/20181028/oqm/3/oqmi_64_30.html,64,30,2018_presidential_round_1,28.10.2018 საქართველოს პრეზიდენტის არჩევნების შედეგები,#64 სენაკი,proportional,2018 წლის საქართველოს პრეზიდენტის არჩევნები (ტური 1),87,696,323,373,307,2,4,2,303,0,8,0,0,0,30,1,0,0,2,0,1,0,0,0,2,1,0,138,0,118,1,0,0,1,0
41.45365925976497,43.84867995263971,2018,2018 წლის 28 ოქტომბრის საპრეზიდენტო არჩევნები,როდიონოვკა,საჯარო სკოლა,სოფ.როდიონოვკა,,https://archiveresults.cec.gov.ge/results/20181028/oqm/3/oqmi_41_30.html,41,30,2018_presidential_round_1,28.10.2018 საქართველოს პრეზიდენტის არჩევნების შედეგები,#41 ნინოწმინდა,proportional,2018 წლის საქართველოს პრეზიდენტის არჩევნები (ტური 1),87,222,115,107,760,2,0,2,160,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,1,98,0,17,0,0,0,0,0
41.968333267591724,43.35377812385559,2018,2018 წლის 28 ოქტომბრის საპრეზიდენტო არჩევნები,დეისის,ყოფილი მაღაზიის შენობა,სოფ. დეისი,,https://archiveresults.cec.gov.ge/results/20181028/oqm/3/oqmi_48_18.html,48,18,2018_presidential_round_1,28.10.2018 საქართველოს პრეზიდენტის არჩევნების შედეგები,#48 ხარაგაული,proportional,2018 წლის საქართველოს პრეზიდენტის არჩევნები (ტური 1),87,161,78,83,121,2,4,3,117,0,1,0,0,0,24,0,1,0,0,0,0,0,0,0,0,0,1,65,0,23,2,0,0,0,0
41.702188066260064,45.84298610687256,2018,2018 წლის 28 ოქტომბრის საპრეზიდენტო არჩევნები,სოფ. კოლაგის,საჯარო სკოლა,სოფ. კოლაგი,,https://archiveresults.cec.gov.ge/results/20181028/oqm/3/oqmi_12_28.html,12,28,2018_presidential_round_1,28.10.2018 საქართველოს პრეზიდენტის არჩევნების შედეგები,#12 გურჯაანი,proportional,2018 წლის საქართველოს პრეზიდენტის არჩევნები (ტური 1),87,1013,503,510,682,3,8,3,674,0,13,0,0,0,170,3,0,1,4,0,2,0,0,0,2,0,1,304,4,168,1,0,0,1,0
41.73429328401313,45.0489342212677,2018,2018 წლის 28 ოქტომბრის საპრეზიდენტო არჩევნები,სააკაძის,არასრული სკოლის შენობა,სოფ. სააკაძე,,https://archiveresults.cec.gov.ge/results/20181028/oqm/3/oqmi_21_37.html,21,37,2018_presidential_round_1,28.10.2018 საქართველოს პრეზიდენტის არჩევნების შედეგები,#21 გარდაბანი,proportional,2018 წლის საქართველოს პრეზიდენტის არჩევნები (ტური 1),87,218,110,108,87,3,4,3,83,0,7,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,13,0,51,2,0,0,0,0
41.7894253,44.8264599,2018,2018 წლის 28 ოქტომბრის საპრეზიდენტო არჩევნები,,#174 საჯ.სკოლა,მუხიანის 1 მ/რ,,https://archiveresults.cec.gov.ge/results/20181028/oqm/3/oqmi_10_86.html,10,86,2018_presidential_round_1,28.10.2018 საქართველოს პრეზიდენტის არჩევნების შედეგები,#10 გლდანი,proportional,2018 წლის საქართველოს პრეზიდენტის არჩევნები (ტური 1),87,1332,563,769,617,3,27,3,590,0,21,0,1,2,46,16,1,1,30,0,4,1,3,1,37,0,4,165,2,244,7,0,0,4,0
